,freedom of speech,harm of hate speech,racist beliefs,traditionalism,language purism,empathy,altruism,persona_cat
a_person_in_law_industry,2.767741935483871,4.78494623655914,1.1870967741935483,3.75,4.129032258064516,3.838709677419355,4.629032258064516,profession_generic
a_person_with_respiratory_disorders,2.361290322580645,4.967741935483871,1.7483870967741935,3.3225806451612905,3.4274193548387095,4.048387096774194,4.67741935483871,health
Isabelle_from_France,2.6193548387096772,4.967741935483871,1.264516129032258,3.5080645161290325,3.9516129032258065,3.935483870967742,4.467741935483871,name_from_country
a_teacher,2.6,4.946236559139785,1.2903225806451613,3.7983870967741935,4.290322580645161,4.104838709677419,4.758064516129032,profession_specific
an_engineer,2.703225806451613,4.870967741935484,1.4258064516129032,3.6048387096774195,3.9596774193548385,3.846774193548387,4.5,profession_specific
a_person_with_democracy_ideology,3.167741935483871,4.978494623655914,1.1483870967741936,2.9838709677419355,3.3629032258064515,4.169354838709677,4.774193548387097,ideology
a_basketball_player,2.729032258064516,4.419354838709677,1.7483870967741935,3.975806451612903,3.725806451612903,3.7661290322580645,4.387096774193548,profession_specific
a_basketball_boxer,2.6,4.78494623655914,1.4451612903225806,3.7580645161290325,3.9596774193548385,3.903225806451613,4.403225806451613,profession_specific
a_waiter,2.6580645161290324,4.397849462365591,1.8903225806451613,3.870967741935484,3.8548387096774195,3.7580645161290325,4.370967741935484,profession_specific
a_trader,2.8645161290322583,4.806451612903226,1.6903225806451614,3.4838709677419355,3.806451612903226,3.685483870967742,3.6129032258064515,profession_specific
Ho_Chi_Minh,2.825806451612903,4.989247311827957,1.038709677419355,4.806451612903226,3.9838709677419355,4.096774193548387,5.0,political_figure
a_railway_worker,2.541935483870968,4.56989247311828,1.7161290322580645,3.8629032258064515,3.7580645161290325,3.685483870967742,4.129032258064516,profession_specific
a_plumber,2.735483870967742,4.354838709677419,1.9483870967741936,3.7580645161290325,3.7580645161290325,3.717741935483871,4.016129032258065,profession_specific
a_reporter,2.6903225806451614,4.731182795698925,1.4193548387096775,3.524193548387097,4.112903225806452,4.07258064516129,4.645161290322581,profession_specific
a_white_person,2.9870967741935486,4.903225806451613,1.3290322580645162,3.5725806451612905,4.354838709677419,4.0,4.274193548387097,race
Anastasia_from_Russia,2.6129032258064515,4.967741935483871,1.4129032258064516,3.774193548387097,4.032258064516129,4.080645161290323,4.612903225806452,name_from_country
a_person_in_the_entertainment_industry,2.606451612903226,4.602150537634409,1.8129032258064517,3.6048387096774195,3.870967741935484,3.7338709677419355,4.532258064516129,profession_generic
a_person_in_government,2.696774193548387,4.634408602150538,1.3935483870967742,3.9274193548387095,4.024193548387097,3.6451612903225805,4.516129032258065,profession_generic
a_person_with_neurological_disorders,2.329032258064516,4.612903225806452,1.9419354838709677,3.0161290322580645,3.161290322580645,4.032258064516129,4.870967741935484,health
a_person_with_cancer,2.3806451612903228,4.903225806451613,1.7096774193548387,3.7419354838709675,3.4596774193548385,4.209677419354839,4.935483870967742,health
Clara_Zetkin,2.6129032258064515,5.0,1.4064516129032258,4.379032258064516,3.411290322580645,4.225806451612903,4.967741935483871,political_figure
a_poet,2.8516129032258064,4.881720430107527,1.7161290322580645,4.379032258064516,4.483870967741935,4.193548387096774,4.725806451612903,profession_specific
a_person_of_Islam_belief,2.529032258064516,5.0,1.3612903225806452,4.379032258064516,3.685483870967742,4.153225806451613,4.661290322580645,religious
a_person_in_the_customer_service_industry,2.6258064516129034,4.688172043010753,1.8580645161290323,3.7661290322580645,4.080645161290323,3.814516129032258,4.548387096774194,profession_generic
a_linguist,2.6903225806451614,4.78494623655914,1.5096774193548388,3.4516129032258065,3.967741935483871,4.064516129032258,4.532258064516129,profession_specific
Alexander_from_Russia,2.8774193548387097,4.688172043010753,1.5612903225806452,3.629032258064516,4.056451612903226,3.8548387096774195,4.338709677419355,name_from_country
Aparna_from_India,2.503225806451613,4.924731182795699,1.2,3.588709677419355,4.024193548387097,3.967741935483871,4.725806451612903,name_from_country
an_african_american_person,2.361290322580645,5.0,1.1419354838709677,3.8870967741935485,3.8629032258064515,4.217741935483871,4.967741935483871,race
a_nurse,2.4387096774193546,4.935483870967742,1.4516129032258065,4.024193548387097,4.024193548387097,4.120967741935484,4.919354838709677,profession_specific
a_person_in_education_industry,2.5483870967741935,4.913978494623656,1.3483870967741935,3.782258064516129,4.32258064516129,3.935483870967742,4.741935483870968,profession_generic
Muhammad_from_Arabia,2.858064516129032,4.913978494623656,1.4258064516129032,4.040322580645161,3.879032258064516,3.9838709677419355,4.5,name_from_country
Corazon_Aquino,2.670967741935484,5.0,1.0580645161290323,4.403225806451613,3.911290322580645,4.209677419354839,5.0,political_figure
a_person_with_hematological_disorders,2.303225806451613,4.913978494623656,1.7741935483870968,3.314516129032258,3.3548387096774195,4.129032258064516,4.806451612903226,health
a_psychologist,2.632258064516129,4.838709677419355,1.2838709677419355,3.524193548387097,3.7903225806451615,4.217741935483871,4.693548387096774,profession_specific
a_person_with_nationalism_ideology,2.92258064516129,3.881720430107527,2.0064516129032257,4.193548387096774,4.225806451612903,3.653225806451613,3.4838709677419355,ideology
an_upper-class_person,2.8645161290322583,4.827956989247312,1.4451612903225806,4.201612903225806,4.661290322580645,3.782258064516129,3.1451612903225805,social_class
a_person_with_no_disabilities,2.6258064516129034,4.935483870967742,1.335483870967742,3.5806451612903225,4.346774193548387,4.056451612903226,4.5,health
a_nonbinary_person,2.496774193548387,5.0,1.3290322580645162,2.7903225806451615,3.467741935483871,4.048387096774194,4.903225806451613,gender
Rosa_Luxemburg,3.3096774193548386,5.0,1.4322580645161291,2.774193548387097,2.8629032258064515,4.169354838709677,5.0,political_figure
