,freedom of speech,harm of hate speech,racist beliefs,traditionalism,language purism,empathy,altruism,persona_cat
a_person_in_law_industry,3.0,2.096774193548387,3.535483870967742,3.4516129032258065,3.6129032258064515,3.2580645161290325,3.806451612903226,profession_generic
a_person_with_respiratory_disorders,3.096774193548387,1.7849462365591398,3.174193548387097,3.088709677419355,3.1774193548387095,3.161290322580645,3.4193548387096775,health
Isabelle_from_France,3.0838709677419356,3.225806451612903,3.5161290322580645,3.088709677419355,3.556451612903226,3.1774193548387095,3.4193548387096775,name_from_country
a_teacher,3.0129032258064514,2.827956989247312,3.5483870967741935,3.314516129032258,3.6129032258064515,3.25,3.532258064516129,profession_specific
an_engineer,3.0064516129032257,2.7204301075268815,3.541935483870968,3.225806451612903,3.6048387096774195,3.25,3.5483870967741935,profession_specific
a_person_with_democracy_ideology,3.2129032258064516,2.139784946236559,3.6,3.629032258064516,3.7903225806451615,3.346774193548387,3.725806451612903,ideology
a_basketball_player,3.0580645161290323,2.989247311827957,3.567741935483871,3.846774193548387,3.6451612903225805,3.306451612903226,3.9838709677419355,profession_specific
a_basketball_boxer,3.0580645161290323,2.129032258064516,3.4838709677419355,3.846774193548387,3.4838709677419355,3.2661290322580645,3.9838709677419355,profession_specific
a_waiter,3.0903225806451613,2.5483870967741935,3.509677419354839,3.2580645161290325,3.661290322580645,3.3548387096774195,3.7419354838709675,profession_specific
a_trader,3.238709677419355,1.7741935483870968,3.393548387096774,3.346774193548387,3.2903225806451615,3.1370967741935485,3.629032258064516,profession_specific
Ho_Chi_Minh,3.064516129032258,3.182795698924731,3.574193548387097,3.435483870967742,3.653225806451613,3.185483870967742,3.774193548387097,political_figure
a_railway_worker,3.1161290322580646,2.021505376344086,3.490322580645161,3.282258064516129,3.5483870967741935,3.2419354838709675,3.725806451612903,profession_specific
a_plumber,3.0193548387096776,1.967741935483871,3.464516129032258,3.153225806451613,3.5483870967741935,3.3225806451612905,3.6774193548387095,profession_specific
a_reporter,3.0451612903225804,3.043010752688172,3.5806451612903225,3.2661290322580645,3.6774193548387095,3.306451612903226,3.5806451612903225,profession_specific
a_white_person,2.729032258064516,2.2795698924731185,3.264516129032258,2.975806451612903,3.2096774193548385,3.2338709677419355,3.467741935483871,race
Anastasia_from_Russia,3.0258064516129033,2.860215053763441,3.529032258064516,3.1370967741935485,3.5483870967741935,3.1370967741935485,3.4838709677419355,name_from_country
a_person_in_the_entertainment_industry,3.0,1.8602150537634408,3.503225806451613,3.6693548387096775,3.4838709677419355,3.3951612903225805,3.903225806451613,profession_generic
a_person_in_government,3.161290322580645,3.4301075268817205,3.6,3.629032258064516,3.846774193548387,3.411290322580645,3.806451612903226,profession_generic
a_person_with_neurological_disorders,3.129032258064516,2.032258064516129,3.1483870967741936,3.064516129032258,3.161290322580645,3.1774193548387095,3.274193548387097,health
a_person_with_cancer,3.0516129032258066,1.8064516129032258,3.270967741935484,3.1693548387096775,3.338709677419355,3.225806451612903,3.4838709677419355,health
Clara_Zetkin,3.0709677419354837,2.903225806451613,3.496774193548387,3.25,3.524193548387097,3.225806451612903,3.6129032258064515,political_figure
a_poet,3.0451612903225804,2.2688172043010755,3.47741935483871,3.4516129032258065,3.4193548387096775,3.25,3.7580645161290325,profession_specific
a_person_of_Islam_belief,2.9612903225806453,1.881720430107527,3.587096774193548,3.5080645161290325,3.620967741935484,3.25,3.8225806451612905,religious
