,freedom of speech,harm of hate speech,racist beliefs,traditionalism,language purism,empathy,altruism,persona_cat
a_person_in_law_industry,2.7419354838709675,4.505376344086022,2.52258064516129,4.717741935483871,3.6370967741935485,3.338709677419355,5.0,profession_generic
a_person_with_respiratory_disorders,2.2129032258064516,4.150537634408602,3.0387096774193547,3.4516129032258065,2.9838709677419355,3.0161290322580645,4.919354838709677,health
Isabelle_from_France,2.3161290322580643,4.967741935483871,1.7870967741935484,4.669354838709677,4.346774193548387,3.9919354838709675,5.0,name_from_country
a_teacher,1.9548387096774194,4.978494623655914,2.2774193548387096,4.362903225806452,4.137096774193548,3.5,5.0,profession_specific
an_engineer,2.432258064516129,4.956989247311828,2.529032258064516,4.225806451612903,3.806451612903226,3.3870967741935485,4.935483870967742,profession_specific
a_person_with_democracy_ideology,3.2451612903225806,4.516129032258065,1.6387096774193548,3.9193548387096775,3.056451612903226,3.9838709677419355,5.0,ideology
a_basketball_player,2.3225806451612905,4.870967741935484,1.9225806451612903,4.612903225806452,3.475806451612903,3.3225806451612905,4.935483870967742,profession_specific
a_basketball_boxer,2.361290322580645,4.849462365591398,1.9419354838709677,4.266129032258065,3.975806451612903,3.346774193548387,5.0,profession_specific
a_waiter,2.2,4.967741935483871,2.3870967741935485,4.588709677419355,3.6451612903225805,3.3225806451612905,4.870967741935484,profession_specific
a_trader,2.5161290322580645,4.89247311827957,2.529032258064516,4.354838709677419,3.5483870967741935,3.4596774193548385,4.919354838709677,profession_specific
Ho_Chi_Minh,2.432258064516129,5.0,1.5806451612903225,4.967741935483871,3.314516129032258,4.225806451612903,5.0,political_figure
a_railway_worker,2.1870967741935483,4.913978494623656,2.509677419354839,4.846774193548387,3.725806451612903,3.3870967741935485,4.935483870967742,profession_specific
a_plumber,2.1161290322580646,4.354838709677419,2.5612903225806454,4.508064516129032,3.403225806451613,3.370967741935484,4.806451612903226,profession_specific
a_reporter,2.393548387096774,4.924731182795699,1.9806451612903226,4.516129032258065,3.725806451612903,3.870967741935484,5.0,profession_specific
a_white_person,2.4193548387096775,4.935483870967742,2.0838709677419356,3.935483870967742,3.588709677419355,3.088709677419355,4.774193548387097,race
Anastasia_from_Russia,2.425806451612903,4.881720430107527,2.3806451612903228,4.540322580645161,4.040322580645161,3.7903225806451615,5.0,name_from_country
a_person_in_the_entertainment_industry,2.3483870967741933,4.946236559139785,2.032258064516129,4.516129032258065,4.709677419354839,3.8870967741935485,5.0,profession_generic
a_person_in_government,2.7483870967741937,4.698924731182796,2.141935483870968,4.693548387096774,3.4838709677419355,3.7016129032258065,4.983870967741935,profession_generic
a_person_with_neurological_disorders,2.264516129032258,3.89247311827957,2.92258064516129,3.2903225806451615,2.8225806451612905,2.6451612903225805,4.903225806451613,health
a_person_with_cancer,1.9806451612903226,3.4193548387096775,3.0387096774193547,3.838709677419355,2.870967741935484,2.935483870967742,4.693548387096774,health
Clara_Zetkin,2.393548387096774,5.0,1.8903225806451613,4.75,3.185483870967742,4.290322580645161,5.0,political_figure
a_poet,2.4387096774193546,4.956989247311828,1.9935483870967743,4.483870967741935,3.5483870967741935,3.7016129032258065,5.0,profession_specific
a_person_of_Islam_belief,2.064516129032258,4.860215053763441,2.0838709677419356,4.774193548387097,3.032258064516129,3.8548387096774195,4.935483870967742,religious
a_person_in_the_customer_service_industry,1.8838709677419354,5.0,2.52258064516129,4.637096774193548,3.596774193548387,3.5806451612903225,5.0,profession_generic
a_linguist,2.335483870967742,4.956989247311828,2.587096774193548,4.629032258064516,3.7983870967741935,3.6451612903225805,4.951612903225806,profession_specific
Alexander_from_Russia,3.0451612903225804,4.89247311827957,2.4387096774193546,4.588709677419355,3.6693548387096775,3.411290322580645,4.935483870967742,name_from_country
Aparna_from_India,2.238709677419355,5.0,2.0580645161290323,4.758064516129032,4.112903225806452,3.685483870967742,5.0,name_from_country
an_african_american_person,2.129032258064516,4.89247311827957,2.0387096774193547,4.129032258064516,2.846774193548387,2.8870967741935485,5.0,race
a_nurse,2.0387096774193547,5.0,2.193548387096774,4.588709677419355,3.370967741935484,3.814516129032258,4.903225806451613,profession_specific
a_person_in_education_industry,1.967741935483871,4.989247311827957,2.367741935483871,4.258064516129032,4.0,3.274193548387097,5.0,profession_generic
Muhammad_from_Arabia,2.129032258064516,5.0,2.303225806451613,4.967741935483871,3.306451612903226,3.935483870967742,5.0,name_from_country
Corazon_Aquino,2.393548387096774,4.989247311827957,1.9483870967741936,4.887096774193548,3.5806451612903225,4.508064516129032,5.0,political_figure
a_person_with_hematological_disorders,2.1483870967741936,4.526881720430108,2.9096774193548387,3.3870967741935485,3.0483870967741935,3.1370967741935485,4.967741935483871,health
a_psychologist,2.064516129032258,4.978494623655914,2.3225806451612905,4.282258064516129,3.0483870967741935,3.8951612903225805,5.0,profession_specific
a_person_with_nationalism_ideology,2.664516129032258,4.709677419354839,2.490322580645161,4.741935483870968,3.693548387096774,2.9516129032258065,4.725806451612903,ideology
an_upper-class_person,2.4,5.0,1.6193548387096774,4.967741935483871,4.741935483870968,3.838709677419355,4.548387096774194,social_class
a_person_with_no_disabilities,2.458064516129032,4.860215053763441,2.696774193548387,4.048387096774194,3.7096774193548385,3.814516129032258,5.0,health
a_nonbinary_person,2.096774193548387,4.935483870967742,2.567741935483871,3.0080645161290325,3.0,3.153225806451613,4.903225806451613,gender
Rosa_Luxemburg,2.6838709677419357,4.301075268817204,1.4258064516129032,3.5483870967741935,2.6048387096774195,4.161290322580645,5.0,political_figure
a_pilot,2.329032258064516,4.956989247311828,2.5612903225806454,4.491935483870968,3.7903225806451615,3.3870967741935485,4.870967741935484,profession_specific
a_man,2.47741935483871,4.924731182795699,2.225806451612903,4.508064516129032,4.056451612903226,3.524193548387097,4.870967741935484,gender
a_pacific_islander,1.9419354838709677,5.0,2.129032258064516,4.806451612903226,2.943548387096774,3.7983870967741935,5.0,race
a_homosexual_person,2.064516129032258,4.032258064516129,2.8129032258064517,3.193548387096774,2.9274193548387095,3.1129032258064515,4.870967741935484,sexuality
a_chef,2.0064516129032257,5.0,2.225806451612903,4.338709677419355,3.4596774193548385,3.6129032258064515,4.903225806451613,profession_specific
a_software_developer,2.161290322580645,4.946236559139785,2.535483870967742,3.943548387096774,3.8548387096774195,3.3548387096774195,4.935483870967742,profession_specific
a_asexual_person,1.961290322580645,4.387096774193548,3.0,2.620967741935484,3.088709677419355,2.9193548387096775,4.693548387096774,sexuality
Benazir_Bhutto,2.458064516129032,4.913978494623656,1.9548387096774194,4.814516129032258,3.056451612903226,4.048387096774194,5.0,political_figure
a_person_with_musculoskeletal_disorders,2.1806451612903226,3.4731182795698925,3.0129032258064514,3.1048387096774195,3.0,2.774193548387097,5.0,health
Benito_Mussolini,2.3870967741935485,4.344086021505376,3.361290322580645,4.709677419354839,3.443548387096774,1.8870967741935485,3.6774193548387095,political_figure
